Computing...


Start DBSCAN
Cluster 0:

        ID: 68570879,  X: 116.27831,  Y: 39.928249

        ID: 70821217,  X: 116.27828,  Y: 39.928933

        ID: 73169534,  X: 116.278546,  Y: 39.928216

        ID: 73979014,  X: 116.27829,  Y: 39.928185

        ID: 69647745,  X: 116.27805098891257,  Y: 39.929563264878155

        ID: 66009193,  X: 116.275928,  Y: 39.927229

        ID: 65187498,  X: 116.27864107489583,  Y: 39.92877036032082

        ID: 64231334,  X: 116.278458,  Y: 39.927788

        ID: 63348880,  X: 116.27419,  Y: 39.92987

        ID: 64371677,  X: 116.275028,  Y: 39.92777

        ID: 64466967,  X: 116.275048,  Y: 39.92787

        ID: 65499658,  X: 116.274888,  Y: 39.92771

        ID: 72368243,  X: 116.275048,  Y: 39.927706

        ID: 72368678,  X: 116.275048,  Y: 39.927706

        ID: 63887350,  X: 116.275713,  Y: 39.927138

        ID: 65030372,  X: 116.27642,  Y: 39.926725

        ID: 69107893,  X: 116.275713,  Y: 39.927081

        ID: 71505687,  X: 116.27642,  Y: 39.926725

        ID: 72681644,  X: 116.275263,  Y: 39.926784

        ID: 72727616,  X: 116.27579,  Y: 39.926551

        ID: 67268128,  X: 116.278696,  Y: 39.92815

        ID: 67263805,  X: 116.278632,  Y: 39.928257

        ID: 67443989,  X: 116.278696,  Y: 39.9282

        ID: 72731333,  X: 116.27861,  Y: 39.928216

        ID: 73170375,  X: 116.278696,  Y: 39.928241

        ID: 73438049,  X: 116.278653,  Y: 39.928134

        ID: 62841651,  X: 116.278739,  Y: 39.928208

        ID: 67267647,  X: 116.278803,  Y: 39.928257

        ID: 67271731,  X: 116.278739,  Y: 39.928298

        ID: 67267219,  X: 116.278782,  Y: 39.928265

        ID: 68443613,  X: 116.27876445651052,  Y: 39.92879812756166

        ID: 73511137,  X: 116.278718,  Y: 39.928142

        ID: 74374085,  X: 116.278722,  Y: 39.928006

        ID: 71831866,  X: 116.27878054976462,  Y: 39.92901203778022

        ID: 65000362,  X: 116.277884,  Y: 39.930154

        ID: 70191479,  X: 116.278589,  Y: 39.929746

        ID: 70280992,  X: 116.277752,  Y: 39.930191

        ID: 74454576,  X: 116.277795,  Y: 39.930289

        ID: 65930596,  X: 116.2788999080658,  Y: 39.92870248479578

        ID: 63676975,  X: 116.278245,  Y: 39.927245

        ID: 66905383,  X: 116.278824,  Y: 39.927994

        ID: 71061761,  X: 116.278914,  Y: 39.928407

        ID: 71202580,  X: 116.27894550561905,  Y: 39.928144051785175

        ID: 73006870,  X: 116.27876,  Y: 39.927838

        ID: 65532301,  X: 116.27899110317229,  Y: 39.92848857360992

        ID: 66715748,  X: 116.27894684672357,  Y: 39.928853662009566

        ID: 67679618,  X: 116.276456,  Y: 39.931727

        ID: 68682957,  X: 116.276121,  Y: 39.931902

        ID: 68928862,  X: 116.27557,  Y: 39.931639

        ID: 73124912,  X: 116.27557,  Y: 39.931639

        ID: 73125241,  X: 116.27557,  Y: 39.931639

        ID: 73125663,  X: 116.27557,  Y: 39.931639

        ID: 73124056,  X: 116.27557,  Y: 39.931639

        ID: 73583494,  X: 116.275273,  Y: 39.93154

        ID: 74514995,  X: 116.2754975259304,  Y: 39.931577879890256

